t,pwf,qg
1446,579.05,446.46
1447,589.1,442.41
1448,591.36,435.55
1449,589,430.27
1450,566.7,446.55
1451,589.05,401.29
1452,591.41,448.34
1453,589.08,440.42
1454,591.32,425.52
1455,589.63,428.92
1456,591.39,442.82
1457,591.34,430.95
1458,591.34,430.56
1459,581.19,408.98
1460,591.15,379.93
1461,603.49,370.28
1462,591.13,372.26
1463,589.83,367.55
1464,591.14,375.15
1465,577.58,379.89
1466,584.92,364.85
1467,584.96,374.62
1468,585.06,404.48
1469,585.01,389.44
1470,584.93,367.34
1471,615.8,355.33
1472,615.74,332.95
1473,615.27,345.84
1474,615.73,331.78
1475,616.13,450.12
1476,616.13,449.28
1477,615.89,382.08
1478,615.93,394.49
1479,626.1,370.95
1480,628.21,367.34
1481,609.65,365.08
1482,609.65,365
1483,603.48,367.46
1484,603.46,362.34
1485,602.96,356.64
1486,603.47,364.75
1487,602.51,354.84
1488,609.63,357.65
1489,609.13,354.02
1490,609.59,345.92
1491,609.64,362.27
1492,603.46,361.82
1493,603.09,385.21
1494,603.6,403.27
1495,590.75,387.62
1496,591.19,390.89
1497,596.5,384.96
1498,597.35,383.52
1499,596.55,393.54
1500,597.39,394.59
1501,596.14,389.12
1502,591.19,388.69
1503,590.41,399.2
1504,603.6,404.61
1505,590.78,393.48
1506,597.39,397.01
1507,588.78,406.11
1508,588.72,389.88
1509,614.14,419.06
1510,616.02,419.73
1511,596.66,414.05
1512,597.46,415.5
1513,589.79,414.68
1514,578.94,417.92
1515,577.45,412.18
1516,578.94,417.94
1517,577.52,421.91
1518,579,433.57
1519,591.35,433.98
1520,591.33,427.12
1521,597.1,425.26
1522,597.49,422.96
1523,595.59,409.21
1524,597.45,413.13
1525,595.17,396.19
1526,597.38,394.15
1527,608.89,392.77
1528,603.58,399.78
1529,602.43,408.69
1530,603.59,401.68
1531,600.62,384.28
1532,603.48,368.74
1533,596.03,371.2
1534,597.3,368.26
1535,615.54,254.49
1536,615.89,380.98
1537,596.32,417.52
1538,597.42,403.29
1539,613.35,398.47
1540,603.59,402.47
1541,596.59,400.76
1542,597.42,405.62
1543,578.15,414.99
1544,578.97,427.49
1545,578.22,427.49
1546,578.96,425.06
1547,584.07,421.44
1548,578.93,416.48
1549,583.33,416.98
1550,585.09,411.98
1551,583.27,409.89
1552,585.05,399.82
1553,570.56,397.58
1554,572.68,396.05
1555,570.97,410.99
1556,572.74,412.51
1557,564.48,406.42
1558,566.55,410.16
1559,564.75,403.62
1560,566.53,405.21
1561,565.38,399.52
1562,566.55,408.66
1563,565.09,406.78
1564,557.88,402.5
1565,566.46,385.98
1566,566.47,388.99
1567,585.02,392.61
1568,585.01,390.8
1569,567.94,390.11
1570,572.64,385.69
1571,571.2,399
1572,572.69,399.35
1573,571.5,392.29
1574,572.65,390.05
1575,559.14,387.1
1576,560.32,394.83
1577,552.02,420.72
1578,554.08,378.33
1579,558.35,272.06
1580,572.28,267.99
1581,552.35,293.5
1582,553.83,299.1
1583,547.53,96.91
1587,563.11,460.86
1588,566.71,449.34
1589,565.07,446.67
1590,560.5,441.17
1591,565.28,434.09
1592,566.63,429.87
1593,557.92,449.74
1594,560.46,430.86
1595,546.78,429.78
1596,548.09,424.63
1597,539.65,411.54
1598,542.02,448.93
1599,527.6,373.45
1600,535.77,430.74
1601,553.15,414.34
1602,554.2,410.25
1603,554.22,414.8
1604,554.19,407.42
1605,538.39,402.43
1606,541.86,410.5
1607,540.48,409.91
1608,541.82,398.97
1609,540.74,401.06
1610,541.78,389.99
1611,545.99,402.07
1612,544.31,404.5
1613,527.05,405.1
1614,529.47,398.09
1615,538.86,213.61
1616,486.06,336.62
1617,540.39,397.12
1618,541.82,399.45
1619,540.36,392.37
1620,546.73,392.71
1621,545.97,393.92
1622,546.75,399.38
1623,546.76,399.63
1624,546.76,400.44
1625,532.24,90.84
1627,540.42,470.11
1628,541.99,441.05
1629,540.61,428.18
1630,541.9,420.09
1631,540.57,422.28
1632,529.58,424.52
1633,538.96,416.35
1634,541.84,405.75
1635,540.47,408.34
1636,541.85,407.96
1637,533.71,405.13
1638,535.66,403.91
1639,533.98,438.4
1640,535.74,422.14
1641,528.48,409.45
1642,541.85,408.38
1643,526.85,409.68
1644,541.86,410.14
1645,533.7,402.67
1646,535.64,399.24
1647,521.73,409.37
1648,523.33,405.73
1649,521.12,399.93
1650,523.3,397.77
1651,527.81,400.92
1652,529.48,400.04
1653,533.4,399.06
1654,547.96,392.48
1655,527.75,392.15
1656,529.48,400.14
1657,527.8,392.72
1658,529.45,391.96
1659,533.9,391.72
1660,535.62,393.74
1661,527.77,394.74
1662,529.41,383.13
1663,527.36,379.64
1664,529.45,392.36
1665,527.28,402.95
1666,529.43,387.81
1667,528,384.9
1668,529.4,381.17
1669,527.68,383.35
1670,529.44,391.77
1671,515.77,396.19
1672,517.11,393.21
1673,521.98,403.45
1674,535.59,385.05
1675,527.14,385.57
1676,529.4,380.82
1677,521.27,386.2
1678,523.25,385.05
1679,515.35,378.72
1680,517.08,385.9
1681,521.78,375.34
1682,523.2,372.75
1683,521.51,380.54
1684,523.23,381.47
1685,528.31,382.36
1686,529.41,382.47
1687,527.17,384.34
1688,529.37,372.45
1689,522.11,375.91
1690,541.74,380.06
1691,515.64,377.94
1692,517.02,370.34
1693,527.61,374.43
1694,529.38,374.76
1695,528.25,372.72
1696,541.72,374.52
1697,537.74,359.8
1698,541.78,390.6
1699,521.82,381.35
1700,523.22,377.49
1701,521.46,374.18
1702,523.18,368.41
1703,515.96,377.66
1704,517.05,377.49
1705,515.64,377.03
1706,523.21,374.31
1707,533.01,384.59
1708,535.54,372.76
1709,527.98,382.52
1710,529.41,382.21
1711,515.07,379.86
1712,517.06,380.34
1713,521.77,374.65
1714,523.21,374.46
1715,521.77,374.58
1716,517.04,374.11
1717,518.34,364.01
1718,519.48,367.95
1719,520.93,378.25
1720,523.2,372.03
1721,521.79,371.18
1722,523.19,370.51
1723,521.72,367.02
1724,523.18,367.06
1725,527.91,372.15
1726,535.52,365.26
1727,528.21,367.05
1728,535.57,378.81
1729,527.03,373.34
1730,529.37,373.59
1731,521.76,372.59
1732,523.17,365.45
1733,529.34,364.93
1734,529.34,363.46
1735,526.44,365.7
1736,529.34,363.9
1737,527.89,369.97
1738,529.33,361.48
1739,534.77,375.4
1740,535.51,364.67
1741,528.19,364.99
1742,529.34,363.97
1743,538.73,367.39
1744,541.07,106.19
1745,489.29,304.96
1746,492.52,410.38
1747,521.16,336.11
1748,522.9,282.76
1749,515.57,254.76
1750,529.01,259.74
1751,521.36,319.55
1752,522.69,201.59
1753,522.8,428.05
1754,523.6,467.28
1755,516.5,461.86
1756,517.27,430.89
1757,514.87,416.72
1758,529.54,416.61
1759,521.75,411.74
1760,523.34,407.08
1761,517.17,407.3
1762,517.14,399.6
1763,523.35,409.32
1764,523.32,403.14
1765,529.72,456.3
1766,529.51,409.23
1767,523.04,421.16
1768,523.24,383.93
1769,522.88,276.45
1770,529.39,376.45
1771,528.69,484.81
1772,529.71,455.1
1773,515.53,436.61
1774,517.3,437.42
1775,526.8,277.64
1776,510.36,210.56
1777,522.23,395.73
1778,523.26,387.12
1779,541.1,404.39
1780,566.02,236.45
1781,558.92,186.82
1782,523.4,422.21
1783,528.99,376.67
1784,529.39,378.7
1785,528.96,371.17
1786,529.02,263.32
1787,523.05,422.9
1788,523.39,419.09
1789,523.01,414.64
1790,523.34,408.29
1791,522.97,406.73
1792,523.32,403.7
1793,522.96,404.16
1794,523.37,415.34
1795,523.17,446.69
1796,523.19,369.91
1797,522.05,306.16
1798,523.23,379.8
1799,521.71,366.04
1800,541.27,220.8
1801,529.61,431.46
1802,529.49,402.09
1803,522.26,342.68
1804,523.3,398.36
1805,529.06,390.98
1806,529.45,392.1
1807,517.08,385.59
1808,517.11,392.92
1809,517.12,395.26
1810,517.04,375.85
1811,535.59,383.98
1812,535.88,455.2
1813,523.35,409.48
1814,523.18,366.14
1815,508.53,296.54
1816,529.55,417.78
1817,509.08,364.03
1818,510.81,358.46
1819,521.98,356.87
1820,523.17,363.74
1821,521.09,364.13
1822,523.18,366.82
1823,546.72,372.67
1824,547.88,370.33
1825,516.03,387.95
1826,541.7,367.17
1827,540.96,378.69
1828,510.82,360.88
1829,608.91,397.18
1830,535.42,336.7
1831,546.59,351.91
1832,547.83,357.03
1833,559.83,446.31
1834,541.83,401.81
1835,515.18,350.85
1836,516.95,350.87
1837,521.71,365.54
1838,523.16,360.54
1839,521.38,363.4
1840,523.14,355.28
1841,527.44,352.2
1842,535.66,403.4
1843,532.89,371.86
1844,535.53,369.91
1845,527.88,368.52
1846,529.35,365.93
1847,527.81,358.47
1848,529.35,366.48
1849,528.19,364.1
1850,529.32,357.92
1851,527.81,359.24
1852,529.28,346.37
1853,528.17,361.45
1854,535.51,363.5
1855,539.82,362.36
1856,541.68,362.07
1857,521.66,358.63
1858,523.19,368.9
1859,515.53,362.9
1860,517,363.34
1861,521.94,399.07
1862,523.34,407.08
1863,522.03,364.65
1864,523.12,351.37
1865,531.85,362.92
1866,535.51,364.06
1867,521.07,362.45
1868,523.17,363.86
1869,527.87,367.09
1870,529.33,362.73
1871,521.08,358.36
1872,523.17,365.02
1873,515.27,369.26
1874,529.32,357.85
1875,528.18,363
1876,529.36,369.93
1877,521.71,366.31
1878,523.17,365.06
1879,526.98,367.98
1880,529.22,331.23
1881,522.01,360.55
1882,523.16,362.64
1883,515.58,368.76
1884,517.01,365.98
1885,514.95,364.72
1886,516.99,361.58
1887,521.37,362.83
1888,523.16,360.7
1889,514.93,363.33
1890,516.97,357.1
1891,521.59,390.49
1892,523.11,349.19
1893,514.84,352.47
1894,523.14,357.7
1895,521.4,366.91
1896,523.22,378.21
1897,520.93,378.58
1898,523.2,371.82
1899,515.34,377.79
1900,517.03,371.87
1901,508.58,370.33
1902,510.84,366.27
1903,515.28,363.62
1904,517.02,368.65
1905,515.56,366.48
1906,516.97,357.43
1907,512.38,100.89
1908,516.75,290.93
1909,520.06,365.31
1910,523.16,360.99
1911,515.26,368.02
1912,516.97,357.11
1913,514.94,363.68
1914,517.01,367.63
1915,533.52,380.65
1916,517.04,374.88
1917,515.57,367.42
1918,516.98,358.4
1919,527.81,358.04
1920,529.33,360.94
1921,520.76,358.89
1922,523.2,371.48
1923,509.16,374.17
1924,510.78,351.9
1925,521.63,354.54
1926,523.16,361.67
1927,511.84,362.76
1928,513.37,382.05
1929,520.43,378.37
1930,523.2,372.22
1931,508.54,298.37
1932,510.87,374.97
1933,521.67,360.37
1934,522.76,229.68
1935,548.66,428.12
1936,550.3,357.17
1937,546.71,224.01
1938,549.76,135.57
1939,517.21,417.85
1940,516.61,241.37
1941,504.94,431.33
1942,504.89,419.65
1943,503.49,399.48
1944,504.76,389.06
1945,502.85,383.08
1946,504.72,380.33
1947,503.05,378.84
1948,504.68,368.38
1949,509.47,375.66
1950,510.92,387.22
1951,501.61,381.44
1952,504.7,375.19
1953,508.95,382.36
1954,510.87,374.79
1955,501.92,368.26
1956,504.67,367.78
1957,539.93,376.41
1958,541.67,359.34
1959,540.92,373.22
1960,541.7,367.86
1961,495.16,369.82
1962,498.46,355.11
1963,521.36,361.26
1964,523.23,380.45
1965,472.01,370.85
1966,473.83,364.09
1967,503.57,364.63
1968,504.66,364.61
1969,502.61,359.14
1970,504.68,368.41
1971,496.65,381.23
1972,498.29,309.26
1973,497.15,263.21
1974,497.94,175.42
1975,485.72,457.38
1976,486.28,392.73
1977,484.01,369.21
1978,486.17,367.31
1979,484.57,366.47
1980,486.18,369.93
1981,484.81,365.95
1982,486.17,367.12
1983,476.31,358.06
1984,479.92,344.1
1985,478.58,355.15
1986,479.95,351.67
1987,496.99,350.69
1988,498.5,365.38
1989,498.49,362.28
1990,498.46,354.92
1991,492.28,352.83
1992,492.28,352.31
1993,490.53,349.5
1994,492.28,351.14
1995,485.61,393.89
1996,486.29,394.65
1997,483.51,167.23
2005,474.71,539.1
2006,474.34,472.59
2007,490.11,333.76
2008,491.62,81.4
2011,502.42,336.84
2012,504.3,255.52
2013,479.48,398.46
2014,479.83,320.26
2015,479.09,385.38
2016,479.72,288.4
2017,478.69,369.86
2018,479.64,263.33
2019,479.75,298.62
2020,479.52,220.5
2021,504.36,276.33
2022,504.32,263.31
2023,503.36,272.21
2024,504.16,198.77
2025,483.95,331.38
2026,485.85,277.18
2027,491.14,289.56
2028,491.82,201.6
2029,485.49,374.19
2030,486.23,380.96
2031,484.55,282.35
2032,485.71,225.75
2033,459.09,129.26
2034,460.78,101.47
2035,469.31,651.98
2036,467.77,388.41
2037,477.31,306.79
2038,479.49,207.36
2039,473.01,467.63
2040,473.6,302.38
2041,472.65,283.49
2042,473.6,302.59
2043,478.72,270.51
2044,480.4,453.7
2045,477.24,236.29
2046,479.26,60.54
2047,474.33,471.23
2048,473.48,264.33
2049,495.32,268.58
2050,499.02,481.24
2051,478.58,308.07
2052,479.49,204.84
2053,492.27,349.24
2054,492.15,315.63
2055,495.62,296.98
2056,497.96,187.57
2057,478.37,217.69
2058,479.62,255.37
2059,468.45,521.02
2060,468.16,468.18
2061,466.32,255.42
2062,467.01,136.27
2063,461.52,367.08
2064,462.12,489.77
2065,483.59,256.99
2066,485.56,160.62
2067,472.66,385.57
2068,473.43,249.88
2069,479.12,389.02
2070,479.58,241.19
2071,472.83,314.61
2072,473.35,216.77
2073,479.43,181.45
2074,480.4,454.12
2075,493.89,142.27
2077,491.48,473.5
2078,492.66,442.04
2079,477.22,430.81
2080,480.13,395.36
2081,479.98,422.73
2082,480.19,409.57
2083,485.52,378.23
2084,486.34,407.1
2085,476.66,270.48
2086,480.31,434.05
2087,483.65,298.3
2088,486.33,404.62
2089,489.86,364.27
2090,492.41,385.58
2091,502.77,378.26
2092,504.7,373.04
2093,503.02,374.28
2094,504.72,379.71
2095,489.75,378.35
2096,492.36,373.12
2097,502.33,357.8
2098,504.6,348.57
2099,502.54,350.55
2100,504.62,354.76
2101,500.2,365.14
2102,502.19,364.13
2103,487.57,355.02
2104,489.83,357
2105,487.83,354.18
2106,489.81,350.99
2107,492.25,344.92
2108,492.27,348.59
2109,501.99,345.18
2110,504.6,348.35
2111,508.54,366.59
2112,510.65,314.3
2113,551.6,299.88
2114,553.74,267.92
2115,593.96,100.88
2116,597.1,302.89
2117,593.58,350.77
2118,597.17,327.21
2119,582.42,304.92
2120,584.75,308.98
2121,589.44,308.54
2122,591.06,351.18
2123,527.65,379.16
2124,529.35,365.94
2125,540.14,361.26
2126,541.62,345.91
2127,527.47,356.47
2128,529.3,354.3
2129,515.05,340.64
2130,516.95,352.39
2131,514.77,343.99
2132,516.92,342.4
2133,521.59,349.66
2134,523.11,347.78
2135,515.06,342.93
2136,516.93,346.42
2137,509.61,348.09
2138,510.75,342.41
2139,508.35,312.86
2140,510.65,312.67
2141,515.22,320.34
2142,516.89,333.98
2143,503.04,329.7
2144,504.48,315.11
2145,515.57,319.2
2146,516.86,324.6
2147,508.6,304.56
2148,510.74,338.94
2149,503.38,337.13
2150,504.54,331.15
2151,512.98,336.84
2152,516.85,322.27
2153,509.01,312.3
2154,510.63,307.11
2155,516,382.95
2156,516.93,344.99
2157,503.22,361.03
2158,504.56,337.58
2159,506.55,343.58
2160,510.64,310.27
2161,509,353.16
2162,510.75,342.92
2163,508.81,287.31
2164,510.88,376.72
2165,502.77,301.82
2166,504.68,370
2167,504.46,306.77
2168,504.54,332.12
2169,504.62,354.2
2170,504.44,303.27
2171,509.35,308.75
2172,510.7,328.52
2173,509.3,351.65
2174,510.76,346.37
2175,502.41,299.95
2176,504.5,318.41
2177,509.64,352.17
2178,510.68,322.53
2179,503.74,335.86
2180,504.54,332.64
2181,501.62,311.48
2182,504.49,316.06
2183,502.92,320.33
2184,504.52,325.26
2185,490.98,322.94
2186,492.16,319.02
2187,502.94,323.24
2188,504.35,273.15
2189,521.99,357.32
2190,523.08,340.53
2191,509.48,328.85
2192,510.67,321.15
2193,507.33,319.46
2194,510.66,316.2
2195,509.43,320.37
2196,510.67,318.43
2197,503.11,346.07
2198,504.66,364.85
2199,497.26,341.46
2200,498.28,304.93
2201,496.99,239.56
2202,498.14,259.35
2203,497.42,307.64
2204,498.41,343.1
2205,508.18,355.4
2206,510.66,317.25
2207,521.33,314.95
2208,523,314.55
2209,515.92,310.56
2210,516.82,314.61
2211,516.8,308.56
2212,516.82,312.06
2213,519.15,302.68
2214,523.03,324.54
2215,534.4,310.56
2216,535.33,309.18
2217,520.75,326.38
2218,523.05,330.23
2219,496.56,335.88
2220,498.36,328.01
2221,489.79,329.21
2222,491.59,42.41
2227,466.87,348.06
2228,467.7,370.31
2229,460.28,330.72
2230,461.37,329.94
2231,466.29,355.52
2232,467.44,303.65
2233,491.46,340.61
2234,492.13,309.82
2235,483.82,346.86
2236,486.04,332.23
2237,472.15,316.11
2238,473.67,323.33
2239,441.8,323.66
2240,442.89,330.73
2241,442,302.28
2242,442.93,339.18
2243,427.76,323.21
2244,430.57,329.15
2245,441.61,339.2
2246,441.59,337.62
2247,435.39,329.67
2248,435.7,331.23
2249,429.49,320.71
2250,442.86,322.05
2251,442.09,317.17
2252,441.67,306.03
2253,435.55,309.21
2254,435.55,308.13
2255,472.12,264.96
2256,472.77,303.19
2257,429.73,356.81
2258,430.04,297.45
2259,540.46,291.96
2260,540.47,293.42
2261,540.41,284.57
2262,539.53,282.43
2263,552.33,338.67
2264,479.12,336.62
2265,454.45,377.88
2266,454.34,361.08
2267,417.4,348.41
2268,417.39,347.85
2269,398.98,348.66
2270,399.28,352.25
2271,374.91,379.84
2272,375.1,368.16
2273,368.33,311.64
2274,368.64,359.14
2275,387.28,349.52
2276,386.92,338.27
2277,318.88,291.5
2278,319.3,271.39
2279,319.1,285.58
2280,319.63,274.11
2281,313.84,378.06
2282,313.63,404.51
2283,312.85,332.71
2284,313.15,311.77
2285,313.64,380.05
2286,313.58,372.81
2287,319.19,332.99
2288,319.57,354.84
2289,319.26,342.87
2290,319.21,336.18
2291,331.43,333.51
2292,331.69,335.2
2293,331.45,335.27
2294,331.68,333.58
2295,331.44,333.65
2296,331.55,332.29
2297,320.56,337.9
2298,320.46,339.89
2299,320.44,336.48
2300,320.61,344.21
2301,273.1,370.07
2302,272.92,346.82
2303,280.25,345.58
2304,280.18,337.4
2305,280.15,333.14
2306,279.87,354.77
2307,263.85,336.37
2308,264.11,346.73
2309,268.45,283.81
2310,269.15,344.58
2311,255.6,330.73
2312,255.53,310.87
2313,255.85,349.6
2314,255.47,315.11
2315,255.77,350.9
2316,255.3,295.12
2317,255.46,314.07
2318,255.35,288.56
2319,280.02,317.41
2320,280.11,328.81
2321,271.51,322.96
2322,271.38,319.83
2323,277.56,327.83
2324,277.49,318.75
2325,277.52,323.26
2326,277.44,325.41
2327,255.47,326.12
2328,255.45,323.32
2329,272.56,323.77
2330,272.61,320.02
2331,262.91,329.05
2332,262.96,323.6
2333,266.75,338.46
2334,266.66,339.16
2335,266.48,318.11
2336,266.78,353.48
2337,257.93,317.97
2338,257.95,319.56
2339,248.18,319.8
2340,248.26,317.87
2341,266.71,334.25
2342,266.58,318.1
2343,267.81,318.85
2344,267.99,341
2345,256.8,317.54
2346,256.8,317.4
2347,256.83,320.22
2348,256.88,326.81
2349,267.88,327.65
2350,267.85,323.52
2351,265.34,316.06
2352,265.46,317.32
2353,263.03,319.75
2354,262.37,229.5
2355,197.95,272.02
2356,198.33,314.39
2357,198.35,316.25
2358,198.3,318.57
2359,198.29,318.27
2360,198.31,319.49
2361,256.82,319.65
2362,256.76,323.83
2363,251.87,320.35
2364,251.93,318.61
2365,264.21,327.26
2366,264.29,324.89
2367,264.25,318.79
2368,264.67,315.66
2369,264.7,319.98
2370,264.76,329.7
2371,250.01,318.81
2372,249.66,315.53
2373,250.82,307.18
2374,250.44,308.61
2375,262.67,312.02
2376,262.93,306.89
2377,262.96,310.44
2378,262.78,313.52
2379,262.76,310.49
2380,262.63,306.61
2381,266.42,321.83
2382,266.48,317.65
2383,249.34,312.24
2384,249.36,315.01
2385,240.78,310.62
2386,240.7,311.16
2387,251.68,311.28
2388,251.91,328.09
2389,251.17,236.87
2390,251.75,328.74
2391,246.96,338.52
2392,246.75,324.16
2393,266.41,340.59
2394,266.48,329.01
2395,251.75,319.16
2396,252.19,313.23
2397,252.17,307.36
2398,251.93,306.48
2399,251.96,310.29
2400,251.76,309.37
2401,282.32,311.56
2402,282.31,310.36
2403,265.16,305.07
2404,265.25,303.53
2405,264.02,303.54
2406,263.79,299.89
2407,266.37,316.02
2408,266.46,302.85
2409,266.57,315.95
2410,266.44,313.03
2411,256.58,302.66
2412,256.77,313.6
2413,259.12,302.06
2414,259.19,311.01
2415,275.11,313.9
2416,274.91,315.18
2417,249.22,309.43
2418,249.61,322.05
2419,249.28,305.75
2420,249.45,302.46
2421,249.43,298.92
2422,249.21,318.08
2423,249.09,304.04
2424,249.48,317.45
2425,249.41,308.84
2426,249.39,306.57
2427,253.16,320.32
2428,252.87,317.68
2429,254.02,307.47
2430,254.34,301.67
2431,254.17,280.6
2432,254.56,330.46
2433,254.37,329.66
2434,254.18,306.6
2435,254.25,315.13
2436,254.4,321.81
2437,267.75,311.58
2438,267.84,309.59
2439,270.3,311.26
2440,270.18,309.2
2441,256.73,308.81
2442,256.65,297.94
2443,281.23,314.83
2444,281.17,307.56
2445,261.61,307.47
2446,261.61,307.29
2447,271.34,300.95
2448,271.49,320.41
2449,270.13,303.32
2450,270.18,309.03
2451,270.17,307.84
2452,270.25,317.74
2453,265.28,308.4
2454,265.23,302.09
2455,275.01,302.09
2456,275.12,301.78
2457,272.67,300.8
2458,272.6,306.14
2459,253.03,303.33
2460,253.07,295.8
2461,252.95,302.72
2462,252.75,304.21
2463,252.73,301.78
2464,252.66,257.61
2465,272.76,326.29
2466,272.62,308.54
2467,270.16,306.43
2468,270.3,310.99
2469,259.09,283.56
2470,259.29,322.35
2471,259.13,303.12
2472,259.22,301.12
2473,259.19,297.59
2474,259.17,307.3
2475,262.81,304.77
2476,262.8,303.35
2477,271.41,310.4
2478,271.33,299.98
2479,256.67,300.24
2480,256.44,307.66
2481,253.89,294.51
2482,254.29,295.64
2483,254.31,297.85
2484,254.13,301.42
2485,254.1,297.67
2486,254.23,301.36
2487,256.65,298.09
2488,256.51,293.6
2489,267.54,297.42
2490,267.74,295.73
2491,267.73,294.49
2492,267.66,299.86
2493,267.68,303.01
2494,267.79,315.86
2495,250.56,301.06
2496,250.45,286.64
2497,263.98,298.47
2498,263.96,295.58
2499,254.22,291.77
2500,254.19,296.46
2501,259.08,296.72
2502,258.93,290.84
2503,269.95,292.86
2504,269.77,295.39
2505,258.79,296.66
2506,258.83,301.34
2507,255.03,286.08
2508,255.23,297.7
2509,261.34,298.18
2510,261.42,296.5
2511,262.62,293.54
2512,262.72,293.67
2513,265.16,293.08
2514,265.12,287.51
2515,265.17,293.65
2516,265.18,295.04
2517,263.94,293.48
2518,263.94,292.89
2519,267.55,285.63
2520,267.64,296.82
2521,266.44,299.98
2522,266.35,288.26
2523,271.26,290.95
2524,271.41,296.36
2525,264.09,298.85
2526,263.89,299.94
2527,263.79,287.7
2528,263.94,278.29
2529,268.96,296.15
2530,268.84,294
2531,267.66,299.71
2532,267.64,297.21
2533,256.61,293.85
2534,256.73,295.37
2535,256.72,293.8
2536,256.75,297.7
2537,256.65,303.27
2538,256.53,296.1
2539,256.57,300.3
2540,256.71,292.45
2541,256.81,305.84
2542,256.71,292.29
2543,256.71,292.12
2544,256.7,291.11
2545,256.56,299.07
2546,256.63,308.47
2547,256.27,288.19
2548,256.47,289.05
2549,265.02,288.22
2550,265.06,280.19
2551,265.15,291.13
2552,265.22,286.25
2553,265.17,279.56
2554,265.11,285.51
2555,260.17,279.93
2556,260.2,283.75
2557,273.71,288.97
2558,273.69,289.24
2559,262.69,289.74
2560,262.66,285.69
2561,262.66,284.86
2562,262.58,289.3
2563,257.7,289.14
2564,257.88,298.93
2565,252.9,287.44
2566,252.99,285.74
2567,253,286.92
2568,252.79,286.55
2569,252.77,284.33
2570,252.99,298.43
2571,256.56,287.42
2572,256.59,290.83
2573,266.32,283.89
2574,266.33,285.55
2575,269.94,278.71
2576,269.99,284.62
2577,270.02,288.14
2578,270.09,297.12
2579,270.06,294.49
2580,269.97,295.9
2581,253.99,283.52
2582,254.07,281.14
2583,261.42,283.52
2584,261.32,283.72
2585,257.65,283.19
2586,257.84,280.02
2587,257.86,282.33
2588,257.65,283.3
2589,257.68,286.6
2590,257.92,290.64
2591,270.13,284.71
2592,270.03,290.35
2593,266.27,278.43
2594,266.3,295.4
2595,261.36,288.89
2596,261.3,281.59
2597,268.63,280.56
2598,268.81,289.68
2599,268.81,290.12
2600,268.8,274.12
2601,268.88,284.51
2602,268.63,281.45
2603,268.67,285.78
2604,268.77,284.6
2605,268.69,274.36
2606,267.5,127.51
2607,268.51,250.42
2608,268.32,152.49
2609,268.52,0
2610,268.76,226.78
2611,269.33,343.92
2612,269.17,335.57
2613,265.39,322.34
2614,265.3,310.43
2615,268.91,303.67
2616,268.8,302.35
2617,265.09,297
2618,265.31,298.57
2619,265.11,297.53
2620,265.21,284.75
2621,265.26,290.98
2622,265.19,296.85
2623,257.8,289.22
2624,257.82,291.56
2625,262.72,292.97
2626,262.85,295.8
2627,262.82,292.36
2628,262.8,288.97
2629,262.78,286.61
2630,262.79,288.29
2631,262.79,288.35
2632,262.8,288.97
2633,262.8,289.62
2634,262.79,302.67
2635,270.02,288.37
2636,270.03,290.11
2637,256.64,296.97
2638,256.63,295.25
2639,262.72,292.6
2640,262.78,286.73
2641,262.74,280.92
2642,262.7,275.93
2643,262.71,277.88
2644,262.73,280.1
2645,262.69,274.83
2646,262.78,286.01
2647,262.72,278.44
2648,262.89,286.43
2649,266.61,293.26
2650,266.42,283
2651,266.43,283.96
2652,266.32,284.97
2653,266.41,296.48
2654,266.37,291.17
2655,255.27,278.38
2656,255.13,285.77
2657,261.13,273.89
2658,261.22,284.65
2659,267.39,289.27
2660,267.59,290.36
2661,267.55,285.46
2662,267.67,285.68
2663,250.62,295.97
2664,250.38,277.59
2665,254.14,290.43
2666,254.06,279.17
2667,260.14,275.9
2668,260.02,287.09
2669,262.32,269.21
2670,262.57,286.89
2671,262.54,283.22
2672,262.76,283.54
2673,262.75,282.99
2674,262.56,272.35
2675,249.23,287.02
2676,249.17,279.34
2677,250.41,281.48
2678,250.33,271.29
2679,268.71,277.19
2680,268.77,269.42
2681,265.13,274.31
2682,265.18,280.22
2683,265.18,281.08
2684,265.03,275.39
2685,254.05,278.88
2686,253.97,281.05
2687,257.64,282.51
2688,257.48,274.97
2689,247.77,279.81
2690,247.92,276.09
2691,261.33,271.19
2692,261.24,273.79
2693,261.23,273.14
2694,261.23,272.18
2695,260.99,269.25
2696,261.18,266.64
2697,252.66,270.76
2698,252.65,269.15
2699,269.75,268.08
2700,260.09,269.76
2701,263.74,267.2
2702,263.92,275.26
2703,263.87,269.26
2704,263.87,268.59
2705,250.45,272.84
2706,250.43,270.88
2707,251.65,269.63
2708,251.7,276.9
2709,250.6,292.47
2710,250.62,280.63
2711,256.69,273.79
2712,256.3,236.59
2713,256.43,254.7
2714,256.51,293.34
2715,256.34,272.75
2716,256.37,227.05
2717,256.68,272.75
2718,256.72,293.71
2719,251.37,231.92
2720,251.51,251.32
2721,261.4,265.45
2722,260.98,240.66
2723,254.22,311.98
2724,253.95,279.73
2725,253.83,260.35
2726,253.76,241.8
2727,294.46,284.82
2728,294.3,243.07
2729,268.63,249.75
2730,268.89,286.72
2731,260.26,276.36
2732,260.15,262.26
2733,262.72,278.89
2734,262.67,271.87
2735,262.46,273.28
2736,262.36,261.44
2737,262.49,277.67
2738,262.36,228.34
