t,pwf,qg
342,639.32,1159.2
343,641.9,1175.3
344,626.63,1246.8
345,626.55,1108
346,615.65,1030.5
347,618.74,1190.1
348,631.15,1075.8
349,630.78,869.9
350,622.4,833
351,624.15,802.4
352,622.04,753.1
353,622.78,560
355,661.77,1546.1
356,648.47,1417.6
357,648.93,1267.6
358,620.02,1235.1
359,621.25,1196.5
360,606.5,1223.6
361,609.12,1208.6
362,637.74,1178.3
363,639.51,1181.3
364,675.06,1247.7
365,676.12,1154.7
366,639.55,1003.2
367,637.1,436.8
370,733.95,1587.8
371,732.8,1303.8
372,632.24,1248.4
373,633.5,1195.2
374,627.21,1221.9
375,628.44,1178.6
376,623.57,1166.5
377,624.67,1169.5
378,630.52,1167.5
379,631.87,1152.4
380,621.7,1143.6
381,622.58,1076.4
382,624.91,1122.4
383,625.64,1002.3
384,630.37,1012.8
385,632.95,1136.1
386,587.16,249.6
388,639.15,1445.6
389,640.77,1308.7
390,652.2,1177.3
391,654.51,1210.3
392,646.05,1167.6
393,647.45,1110.1
394,646.34,1140.9
395,647.47,1111.5
396,635.57,1070.4
397,637.33,1077.1
398,626.75,1062.4
399,628.97,1104.4
400,629.63,1063.6
401,629.57,873.9
402,655.12,1034.3
403,657.05,1081.7
404,638.29,989.5
405,640.48,1012.9
406,649.13,1094.6
407,650.82,1073.1
408,619.81,1074.7
409,619.63,1018.8
410,616.17,1048.5
411,617.43,1048.7
412,625.49,1042.3
413,627.32,1056.6
414,625.73,1058.5
415,626.51,958
416,631.61,1032.9
417,633.1,1012.2
418,624.98,1022.9
419,628.36,1293
420,655.39,1043.5
421,656.54,1019.9
422,652.6,1027.5
423,654.09,1021.3
424,630.08,1027.7
425,631.91,1017.4
426,630.29,1023.4
427,631.9,1016.4
428,633.25,1057.3
429,634.02,973.3
430,645.39,1013.6
431,646.39,981.4
432,621.04,993.9
433,621.98,1006.4
434,618.93,971.1
435,620.57,984.1
436,619.51,982.6
437,621.15,1053.3
438,621.4,972.8
439,622.82,958.4
440,630.1,963.7
441,631.39,952.4
442,613.06,948.2
443,614.07,940.7
444,614.25,335.9
446,626.15,1236.7
447,626.51,1103.4
448,622.69,981.6
449,621.51,132.2
452,626.47,1322.9
453,627.54,1212.4
454,636.69,1076
455,638.32,1048.9
456,623.64,949.5
457,625.71,1011
458,617.02,988.2
459,607.15,996.4
460,611.32,989.9
461,625.55,991
462,617.92,1020.9
463,619.64,1020.1
464,602.77,1009.9
465,602.49,875
466,692.19,958.5
467,692.88,935.7
468,617.75,923.1
469,619.17,963.4
470,619.35,985.7
471,619.03,945.6
472,609.1,962
473,613.46,1015.9
474,599.71,994.1
475,600.45,929.1
476,611.17,928.1
477,613.04,965.6
478,593.29,982.6
479,594.75,983
480,604.24,973.7
481,605.85,988.2
482,592.78,956.2
483,594.66,972.8
484,594.15,995.8
485,594.7,977.2
486,587.13,950.9
487,588.22,937.1
488,592.24,935.4
489,594.42,944
490,598.34,941.3
491,600.68,957
492,594.18,913.9
493,594.47,949.2
494,590.6,226.3
496,622.97,1116.7
497,623.17,1000.87
498,635.07,994.31
499,637.81,986.23
500,615.12,984.65
501,616.43,927.65
502,678.44,851.7
504,634.49,949.34
505,634.71,902.75
506,621.75,895.81
507,622.28,887.42
508,636.09,946.99
509,637.28,917.67
510,623.72,937.44
511,625.13,939.06
512,623.46,930.21
513,625.02,924.28
514,621.22,921.6
515,622.44,908.56
516,603.91,908.17
517,601.93,254.87
520,609.18,1011.45
521,612.65,916.31
522,597.88,949.76
523,599.31,940.21
524,608.95,922.01
525,606.7,164.46
527,620.2,1084.02
528,596.69,1034.41
529,597.74,896.45
530,604.02,847.75
531,606.24,882.58
532,623.41,902.82
533,625.18,944.76
534,600.79,915.56
535,602.83,918.86
536,596.11,891.43
537,598.16,950.18
538,589.83,895.44
539,591.6,897.76
540,593.05,907.05
541,594.09,901.58
542,582.96,898.11
543,584.22,897.68
544,577.54,873.04
545,579.13,875.46
546,587.48,866.34
547,586.41,433.77
550,612.37,1093.42
551,613.49,1019.56
552,622.63,975.11
553,625.29,958.56
554,608.56,931.14
555,609,746.24
556,600.46,252.64
559,681.71,1088.28
560,622.85,1049.84
561,625.71,1011.4
562,623.17,973.51
563,625.33,963.69
564,601.29,940.56
565,602.36,856.51
566,623.64,279.5
568,603.32,1046.99
569,604.75,1003.76
570,599.03,985.7
571,600.57,944.18
572,603.43,804.56
573,603.14,243.33
575,607.2,1001.92
576,594.91,980.89
577,597.02,961.03
578,606.71,945.65
579,607.47,881.58
580,583.88,247.01
582,612.4,1096.69
583,613.34,1002.07
584,589.86,908.07
585,591.15,838.51
586,604.49,828.85
587,608.78,892.33
588,615.68,821.55
589,618.13,823.31
590,612.34,824.62
591,613.6,878.27
592,610.72,856.32
593,612.32,871.86
594,610.42,845.27
595,612.18,852.25
596,604.59,845.44
597,605.98,846.47
598,599.69,846.93
599,601,839.04
600,608.35,828.7
601,609.62,839.44
602,604.83,725.8
603,607.11,832.74
604,586.34,841.7
605,587.41,831.86
606,601.14,214.34
608,611.08,947.98
609,612.66,917.43
610,603.73,892.85
611,607.48,883.19
